id,name,type,format,price,status,score,method,agora_id,agora_name,agora_family,duplicates
263387,Bàrbara Forés Negre,tinto,bottle,70.0,MATCH,100,EXACT,763387,B Bàrbara Forés Negre,TINTOS WINERIM,0
263394,Cims de Porrera Clàssic,tinto,bottle,250.0,MATCH,100,EXACT,763394,B Cims de Porrera Clàssic,TINTOS WINERIM,0
263395,Martinet Bru,tinto,bottle,45.3,MATCH,100,EXACT,763395,B Martinet Bru,TINTOS WINERIM,0
263396,Scala Dei Negre,tinto,bottle,55.0,MATCH,100,EXACT,763396,B Scala Dei Negre,TINTOS WINERIM,0
263397,Clos Mogador,tinto,bottle,160.0,MATCH,100,EXACT,763397,B Clos Mogador,TINTOS WINERIM,0
263398,Gran Clos,tinto,bottle,110.0,MATCH,100,EXACT,763398,B Gran Clos,TINTOS WINERIM,0
263399,Finca Dofí,tinto,bottle,220.0,MATCH,100,EXACT,763399,B Finca Dofí,TINTOS WINERIM,0
263400,Les Terrasses,tinto,bottle,95.0,MATCH,100,EXACT,763400,B Les Terrasses,TINTOS WINERIM,0
263402,Ònix Clàssic,tinto,bottle,22.5,MATCH,100,EXACT,763402,B Ònix Clàssic,TINTOS WINERIM,0
263403,Amadis,tinto,bottle,140.0,MATCH,100,EXACT,763403,B Amadis,TINTOS WINERIM,0
263405,L'Ermita Velles Vinyes,tinto,bottle,1400.0,MATCH,100,EXACT,763405,B L'Ermita Velles Vinyes,TINTOS WINERIM,0
263406,Clos Martinet,tinto,bottle,53.3,MATCH,100,EXACT,763406,B Clos Martinet,TINTOS WINERIM,0
263407,Mas Igneus,tinto,bottle,45.0,MATCH,100,EXACT,763407,B Mas Igneus,TINTOS WINERIM,0
263408,Lo Cabaló,tinto,bottle,55.0,MATCH,100,EXACT,763408,B Lo Cabaló,TINTOS WINERIM,0
263409,Morlanda Crianza,tinto,bottle,160.0,MATCH,100,EXACT,763409,B Morlanda Crianza,TINTOS WINERIM,0
263410,Perinet,tinto,bottle,27.0,MATCH,100,EXACT,763410,B Perinet,TINTOS WINERIM,0
263412,Camins del Priorat,tinto,bottle,38.5,MATCH,100,EXACT,763412,B Camins del Priorat,TINTOS WINERIM,0
263413,Celler Cal Pla Mas d'en Compte,tinto,bottle,170.0,MATCH,100,EXACT,763413,B Celler Cal Pla Mas d'en Compte,TINTOS WINERIM,0
263415,Vi de Vila,tinto,bottle,37.5,MATCH,100,EXACT,763415,B Vi de Vila,TINTOS WINERIM,0
263416,Inici,tinto,bottle,30.5,MATCH,100,EXACT,763416,B Inici,TINTOS WINERIM,0
263418,Destí,tinto,bottle,55.0,MATCH,100,EXACT,763418,B Destí,TINTOS WINERIM,0
263423,Mas de Subirà Criança,tinto,bottle,170.0,MATCH,100,EXACT,763423,B Mas de Subirà Criança,TINTOS WINERIM,0
263425,Predicat,tinto,bottle,75.0,MATCH,100,EXACT,763425,B Predicat,TINTOS WINERIM,0
263427,Acústic,tinto,bottle,35.0,MATCH,100,EXACT,763427,B Acústic,TINTOS WINERIM,0
263428,Brunus,tinto,bottle,28.5,MATCH,100,EXACT,763428,B Brunus,TINTOS WINERIM,0
263429,Teixar,tinto,bottle,85.0,MATCH,100,EXACT,763429,B Teixar,TINTOS WINERIM,0
263601,El Pispa,tinto,bottle,19.2,MATCH,100,EXACT,763601,B El Pispa,TINTOS WINERIM,0
263602,Dido Negre,tinto,bottle,32.0,MATCH,100,EXACT,763602,B Dido Negre,TINTOS WINERIM,0
263607,Llàgrimes de Tardor Criança,tinto,bottle,24.5,MATCH,100,EXACT,763607,B Llàgrimes de Tardor Criança,TINTOS WINERIM,0
263608,Via Edetana,tinto,bottle,45.0,MATCH,100,EXACT,763608,B Via Edetana,TINTOS WINERIM,0
263616,Mas Donis Negre,tinto,bottle,30.0,MATCH,100,EXACT,763616,B Mas Donis Negre,TINTOS WINERIM,0
263620,Venus,tinto,bottle,65.0,MATCH,100,EXACT,763620,B Venus,TINTOS WINERIM,0
263621,Laurona,tinto,bottle,34.5,MATCH,100,EXACT,763621,B Laurona,TINTOS WINERIM,0
263625,La Cuca de Llum,tinto,bottle,13.5,MATCH,100,EXACT,763625,B La Cuca de Llum,TINTOS WINERIM,0
263635,Finca La Milana,tinto,bottle,55.0,MATCH,100,EXACT,763635,B Finca La Milana,TINTOS WINERIM,0
263636,Black,tinto,bottle,32.0,MATCH,100,EXACT,763636,B Black,TINTOS WINERIM,0
263637,Mas Irene,tinto,bottle,38.5,MATCH,100,EXACT,763637,B Mas Irene,TINTOS WINERIM,0
263641,Gran Caus,tinto,bottle,120.0,MATCH,100,EXACT,763641,B Gran Caus,TINTOS WINERIM,0
263642,Can Feixes Negre Tradició,tinto,bottle,90.0,MATCH,100,EXACT,763642,B Can Feixes Negre Tradició,TINTOS WINERIM,0
263643,Vinya Le Havre,tinto,bottle,160.0,MATCH,100,EXACT,763643,B Vinya Le Havre,TINTOS WINERIM,0
263644,Petrea Merlot,tinto,bottle,45.0,MATCH,100,EXACT,763644,B Petrea Merlot,TINTOS WINERIM,0
263645,Ad Fines,tinto,bottle,110.0,MATCH,100,EXACT,763645,B Ad Fines,TINTOS WINERIM,0
263647,Pas Curtei,tinto,bottle,32.5,MATCH,100,EXACT,763647,B Pas Curtei,TINTOS WINERIM,0
263649,Isabel Negra,tinto,bottle,90.0,MATCH,100,EXACT,763649,B Isabel Negra,TINTOS WINERIM,0
263650,Nerola Tinto,tinto,bottle,60.0,MATCH,100,EXACT,763650,B Nerola Tinto,TINTOS WINERIM,0
263652,Neolitic de Sumoll,tinto,bottle,38.0,MATCH,100,EXACT,763652,B Neolitic de Sumoll,TINTOS WINERIM,0
263655,Cristiari d’Alòs,tinto,bottle,35.0,MATCH,100,EXACT,763655,B Cristiari d’Alòs,TINTOS WINERIM,0
263657,Saó Abrivat,tinto,bottle,28.0,MATCH,100,EXACT,763657,B Saó Abrivat,TINTOS WINERIM,0
263658,Petit Saó,tinto,bottle,22.5,MATCH,100,EXACT,763658,B Petit Saó,TINTOS WINERIM,0
264489,Solergibert Merlot Reserva,tinto,bottle,45.0,MATCH,100,EXACT,764489,B Solergibert Merlot Reserva,TINTOS WINERIM,0
264490,Abadal Reserva Selecció 0.7,tinto,bottle,85.0,MATCH,100,EXACT,764490,B Abadal Reserva Selecció 0.7,TINTOS WINERIM,0
264491,Abadal 3.9,tinto,bottle,65.0,MATCH,100,EXACT,764491,B Abadal 3.9,TINTOS WINERIM,0
264493,Gran Claustro,tinto,bottle,140.0,MATCH,100,EXACT,764493,B Gran Claustro,TINTOS WINERIM,0
264494,Finca Malaveïna,tinto,bottle,55.0,MATCH,100,EXACT,764494,B Finca Malaveïna,TINTOS WINERIM,0
264496,Llavors Negre,tinto,bottle,26.5,MATCH,100,EXACT,764496,B Llavors Negre,TINTOS WINERIM,0
264497,Perafita,tinto,bottle,32.0,MATCH,100,EXACT,764497,B Perafita,TINTOS WINERIM,0
264498,Vinya Selva de Mar,tinto,bottle,55.0,MATCH,100,EXACT,764498,B Vinya Selva de Mar,TINTOS WINERIM,0
264499,Coma Bruna,tinto,bottle,24.5,MATCH,100,EXACT,764499,B Coma Bruna,TINTOS WINERIM,0
264500,Orbus,tinto,bottle,27.0,MATCH,100,EXACT,764500,B Orbus,TINTOS WINERIM,0
264501,Remelluri Reserva,tinto,bottle,65.0,MATCH,100,EXACT,764501,B Remelluri Reserva,TINTOS WINERIM,0
264502,Remírez de Ganuza Reserva,tinto,bottle,88.0,MATCH,100,EXACT,764502,B Remírez de Ganuza Reserva,TINTOS WINERIM,0
264505,Luis Cañas Crianza,tinto,bottle,25.0,MATCH,100,EXACT,764505,B Luis Cañas Crianza,TINTOS WINERIM,0
264506,Marqués de Riscal Reserva,tinto,bottle,38.5,MATCH,100,EXACT,764506,B Marqués de Riscal Reserva,TINTOS WINERIM,0
