legacy_agora_id,legacy_name,legacy_family,status,score,method,winerim_agora_id,winerim_product_name,winerim_family,duplicates
105,ORBUS,ALELLA,MATCH,100,EXACT,764500,B Orbus,TINTOS WINERIM,0
107,PARVUS NEGRE,ALELLA,REVIEW,75,FUZZY,765281,B Algars Negre,TINTOS WINERIM,0
104,ROURA MERLOT,ALELLA,REVIEW,72,FUZZY,763644,B Petrea Merlot,TINTOS WINERIM,0
187,GRAN ABADENGO,ARRIBES DEL DUERO,NO_MATCH,0,,,,,0
171,ALMAZCARA MAJARA,BIERZO,NO_MATCH,0,,,,,0
170,CEPAS VIEJAS,BIERZO,NO_MATCH,0,,,,,0
172,JARAJE ALMAZCARA,BIERZO,NO_MATCH,0,,,,,0
169,PETALOS DEL BIERZO,BIERZO,NO_MATCH,0,,,,,0
186,LAS REÑAS,BULLAS,NO_MATCH,67,FUZZY,763637,B Mas Irene,TINTOS WINERIM,0
207,OPUS ONE,CALIFORNIA,NO_MATCH,0,,,,,0
176,ABADIA RETUERTA ESPECIAL,CASTILLA Y LEON,NO_MATCH,63,FUZZY,764490,B Abadal Reserva Selecció 0.7,TINTOS WINERIM,0
175,ABADIA RETUERTA RIVOLA,CASTILLA Y LEON,NO_MATCH,0,,,,,0
173,EL LINCE,CASTILLA Y LEON,NO_MATCH,0,,,,,0
177,MAURO,CASTILLA Y LEON,NO_MATCH,67,FUZZY,763621,B Laurona,TINTOS WINERIM,0
174,PAGO VICARIO DENTA,CASTILLA Y LEON,NO_MATCH,0,,,,,0
178,QS,CASTILLA Y LEON,NO_MATCH,0,,,,,0
255,BLANCA CUSINE,CAVA,NO_MATCH,0,,,,,0
270,CARLES ANDREU,CAVA,NO_MATCH,0,,,,,0
271,CARLES ANDREU ROSE,CAVA,NO_MATCH,0,,,,,0
273,CAVA BOXORIS,CAVA,NO_MATCH,0,,,,,0
256,DE NIT,CAVA,MATCH,92,CONTAINS,764639,B Raventós i Blanc de Nit,ESPUMOSOS WINERIM,0
268,GRAMONA IMPERIAL,CAVA,MATCH,92,CONTAINS,764651,B Gramona Imperial Brut,ESPUMOSOS WINERIM,0
269,GRAMONA TRES LUSTROS,CAVA,NO_MATCH,61,FUZZY,764493,B Gran Claustro,TINTOS WINERIM,0
261,JUVE & CAMPS FAMILIA,CAVA,NO_MATCH,0,,,,,0
267,NADAL SALVATGE,CAVA,NO_MATCH,0,,,,,0
266,PARXET,CAVA,NO_MATCH,62,FUZZY,763410,B Perinet,TINTOS WINERIM,0
263,PERE VENTURA 50CL,CAVA,NO_MATCH,62,FUZZY,764646,B Pere Ventura Reserva Brut,ESPUMOSOS WINERIM,0
264,PERE VENTURA BRUT NAT,CAVA,REVIEW,74,FUZZY,764646,B Pere Ventura Reserva Brut,ESPUMOSOS WINERIM,0
265,PERE VENTURA BRUT RSV,CAVA,REVIEW,74,FUZZY,764646,B Pere Ventura Reserva Brut,ESPUMOSOS WINERIM,0
272,PRIVAT LAIETA,CAVA,NO_MATCH,0,,,,,0
260,RECAREDO BRUT DE BRUT,CAVA,NO_MATCH,0,,,,,0
259,RECAREDO BRUT NATURE,CAVA,NO_MATCH,63,FUZZY,764654,B Bocchoris Brut Nature,ESPUMOSOS WINERIM,0
258,ROVELLATS GRAN RESERVA,CAVA,NO_MATCH,67,FUZZY,764501,B Remelluri Reserva,TINTOS WINERIM,0
262,SUMARROCA,CAVA,MATCH,92,CONTAINS,764645,B Sumarroca Brut Nature Gran Reserva,ESPUMOSOS WINERIM,0
257,TURO D'EN MATA,CAVA,NO_MATCH,0,,,,,0
275,CHAMPAGNE DES PRINCES,CHAMPAGNE,NO_MATCH,0,,,,,0
274,TAITTINGER VINTAGE,CHAMPAGNE,NO_MATCH,0,,,,,0
46,CUCA DE LLUM,CONCA DE BARBERA,MATCH,92,CONTAINS,763625,B La Cuca de Llum,TINTOS WINERIM,0
47,GRAN MURALLAS,CONCA DE BARBERA,NO_MATCH,64,FUZZY,763398,B Gran Clos,TINTOS WINERIM,0
48,JOSEP FORASTER,CONCA DE BARBERA,NO_MATCH,0,,,,,0
50,PORTELL NEGRE,CONCA DE BARBERA,NO_MATCH,67,FUZZY,765200,B Notes de Negre,TINTOS WINERIM,0
49,SUCCES EL MENTIDER,CONCA DE BARBERA,NO_MATCH,0,,,,,0
84,CRISTIARI ALOS,COSTERS SEGRE,MATCH,93,FUZZY,763655,B Cristiari d’Alòs,TINTOS WINERIM,0
87,PETIT SAO,COSTERS SEGRE,MATCH,100,EXACT,763658,B Petit Saó,TINTOS WINERIM,0
85,PETIT SIOS,COSTERS SEGRE,REVIEW,84,FUZZY,763658,B Petit Saó,TINTOS WINERIM,0
83,QUATRE VARIETATS,COSTERS SEGRE,NO_MATCH,0,,,,,0
86,SAO ABRIVAT,COSTERS SEGRE,MATCH,100,EXACT,763657,B Saó Abrivat,TINTOS WINERIM,0
101,ESPELT COMABRUNA,EMPORDA COSTA BRAVA,NO_MATCH,69,FUZZY,764499,B Coma Bruna,TINTOS WINERIM,0
103,FINCA FUROT RESERVA,EMPORDA COSTA BRAVA,NO_MATCH,67,FUZZY,764507,B Viña Ardanza Reserva,TINTOS WINERIM,0
96,FINCA MALAVEINA,EMPORDA COSTA BRAVA,MATCH,100,EXACT,764494,B Finca Malaveïna,TINTOS WINERIM,0
102,FUROT MONESTIR,EMPORDA COSTA BRAVA,NO_MATCH,0,,,,,0
95,GRAN CLAUSTRO,EMPORDA COSTA BRAVA,MATCH,100,EXACT,764493,B Gran Claustro,TINTOS WINERIM,0
98,LLAVORS,EMPORDA COSTA BRAVA,MATCH,92,CONTAINS,764496,B Llavors Negre,TINTOS WINERIM,0
93,MAS GELI,EMPORDA COSTA BRAVA,NO_MATCH,71,FUZZY,782797,B Mas Elena,TINTOS WINERIM,0
94,OLIVER CONTI,EMPORDA COSTA BRAVA,NO_MATCH,0,,,,,0
97,OLIVER CONTI CARLOTA,EMPORDA COSTA BRAVA,NO_MATCH,0,,,,,0
99,PERAFITA NEGRE,EMPORDA COSTA BRAVA,MATCH,92,CONTAINS,764497,B Perafita,TINTOS WINERIM,0
100,VINYA SELVA DE MAR,EMPORDA COSTA BRAVA,MATCH,100,EXACT,764498,B Vinya Selva de Mar,TINTOS WINERIM,0
189,VIÑA SARA,EXTREMADURA,NO_MATCH,67,FUZZY,764522,B Viña Alberdi,TINTOS WINERIM,0
192,ANTONIN RODET,FRANÇA,NO_MATCH,0,,,,,0
194,CAHTEAU PAVEIL LUZE,FRANÇA,NO_MATCH,0,,,,,0
201,CHATEAU CAIX,FRANÇA,NO_MATCH,0,,,,,0
196,CHATEAU CANTENAC BROWN,FRANÇA,NO_MATCH,0,,,,,0
200,CHATEAU CHAMBERT,FRANÇA,NO_MATCH,0,,,,,0
199,CHATEAU HAUT PIRAGUEY,FRANÇA,NO_MATCH,0,,,,,0
197,CHATEAU LAFITE ROTHSCHILD,FRANÇA,NO_MATCH,0,,,,,0
198,CHATEAU LAGREZETTE,FRANÇA,NO_MATCH,0,,,,,0
193,CHATEAU MOLLERET,FRANÇA,NO_MATCH,0,,,,,0
191,COUVENT DES JACOBINS,FRANÇA,NO_MATCH,0,,,,,0
