agora_id,name,family,saleable,direct,family_show_in_pos
764605,B Honeymoon,BLANCOS WINERIM,True,False,True
764606,B Parés Baltà Amphora Brisat,BLANCOS WINERIM,True,False,True
764607,B Parés Baltà Amphora Roja,BLANCOS WINERIM,True,False,True
764608,B Ginesta,BLANCOS WINERIM,True,False,True
764609,B Satèl·lit,BLANCOS WINERIM,True,False,True
764611,B Mas Escorpí,BLANCOS WINERIM,True,False,True
764616,B Il·lusió,BLANCOS WINERIM,True,False,True
764622,B El Quintà Fermentat en Bota,BLANCOS WINERIM,True,False,True
764625,B SO Can Roda Pansa Blanca,BLANCOS WINERIM,True,False,True
764627,B Can Bas D'Origen P5 Muscat,BLANCOS WINERIM,True,False,True
764630,B Perafita Picapoll Oxidat,BLANCOS WINERIM,True,False,True
764631,B Carrasviñas Verdejo,BLANCOS WINERIM,True,False,True
764633,B Ramón Do Casar Treixadura,BLANCOS WINERIM,True,False,True
765102,B La Trucha Blanco,BLANCOS WINERIM,True,False,True
765206,B Notes De Blanc,BLANCOS WINERIM,True,False,True
765240,B Casar de Burbia Godello,BLANCOS WINERIM,True,False,True
765250,B Fenomenal Sauvignon Blanc,BLANCOS WINERIM,True,False,True
765280,B Algars Blanc,BLANCOS WINERIM,True,False,True
765300,B Parvus Chardonnay,BLANCOS WINERIM,True,False,True
971458,C Dulce de Invierno,COPAS WINERIM,True,False,True
764639,B Raventós i Blanc de Nit,ESPUMOSOS WINERIM,True,False,True
764642,B Serral del Vell,ESPUMOSOS WINERIM,True,False,True
764643,B Terrers Brut Nature Gran Reserva,ESPUMOSOS WINERIM,True,False,True
764645,B Sumarroca Brut Nature Gran Reserva,ESPUMOSOS WINERIM,True,False,True
764646,B Pere Ventura Reserva Brut,ESPUMOSOS WINERIM,True,False,True
764651,B Gramona Imperial Brut,ESPUMOSOS WINERIM,True,False,True
764654,B Bocchoris Brut Nature,ESPUMOSOS WINERIM,True,False,True
775951,B Subtil Brut Nature Gran Reserva,ESPUMOSOS WINERIM,True,False,True
776053,B Primer Reserva Brut,ESPUMOSOS WINERIM,True,False,True
785747,B Coll de la Sitja Ancestral,ESPUMOSOS WINERIM,True,False,True
785748,B Para Roques Ancestral,ESPUMOSOS WINERIM,True,False,True
1164544,M PSI,MAGNUM WINERIM,True,False,True
764598,B Mas Comtal Rosat de Llàgrima,ROSADOS WINERIM,True,False,True
764599,B Portell Rosat Trepat,ROSADOS WINERIM,True,False,True
764600,B Bàrbara Forés Rosat,ROSADOS WINERIM,True,False,True
764603,B La Rosa,ROSADOS WINERIM,True,False,True
765229,B Sindicat la Figuera Rosat,ROSADOS WINERIM,True,False,True
765279,B Algars Rosat,ROSADOS WINERIM,True,False,True
775945,B Sindicat la Figuera Rosat 945,ROSADOS WINERIM,True,False,True
763387,B Bàrbara Forés Negre,TINTOS WINERIM,True,False,True
763394,B Cims de Porrera Clàssic,TINTOS WINERIM,True,False,True
763395,B Martinet Bru,TINTOS WINERIM,True,False,True
