winerim_agora_id,winerim_product_name,winerim_family,status,score,method,legacy_agora_id,legacy_name,legacy_family,duplicates
765280,B Algars Blanc,BLANCOS WINERIM,MATCH,92,CONTAINS,515,Algars,TERRA ALTA,0
764627,B Can Bas D'Origen P5 Muscat,BLANCOS WINERIM,NO_MATCH,0,,,,,0
764631,B Carrasviñas Verdejo,BLANCOS WINERIM,MATCH,92,CONTAINS,243,CARRASVIÑAS,VI BLANC,0
765240,B Casar de Burbia Godello,BLANCOS WINERIM,NO_MATCH,0,,,,,0
764622,B El Quintà Fermentat en Bota,BLANCOS WINERIM,NO_MATCH,0,,,,,0
765250,B Fenomenal Sauvignon Blanc,BLANCOS WINERIM,MATCH,92,CONTAINS,519,Fenomenal,VI BLANC,0
764608,B Ginesta,BLANCOS WINERIM,MATCH,100,EXACT,221,GINESTA,VI BLANC,0
764605,B Honeymoon,BLANCOS WINERIM,MATCH,95,FUZZY,217,HONEY MOON,VI BLANC,0
764616,B Il·lusió,BLANCOS WINERIM,MATCH,100,EXACT,229,IL·LUSIO,VI BLANC,0
765102,B La Trucha Blanco,BLANCOS WINERIM,MATCH,92,CONTAINS,247,LA TRUCHA,VI BLANC,0
764611,B Mas Escorpí,BLANCOS WINERIM,MATCH,92,CONTAINS,224,GRAMONA MAS ESCORPI,VI BLANC,0
765206,B Notes De Blanc,BLANCOS WINERIM,MATCH,100,EXACT,218,NOTES DE BLANC,VI BLANC,0
765300,B Parvus Chardonnay,BLANCOS WINERIM,REVIEW,80,FUZZY,106,AA chardonnay,VI BLANC,0
764606,B Parés Baltà Amphora Brisat,BLANCOS WINERIM,NO_MATCH,62,FUZZY,220,AMFORA BRISAT,VI BLANC,0
764607,B Parés Baltà Amphora Roja,BLANCOS WINERIM,NO_MATCH,0,,,,,0
764630,B Perafita Picapoll Oxidat,BLANCOS WINERIM,NO_MATCH,0,,,,,0
764633,B Ramón Do Casar Treixadura,BLANCOS WINERIM,MATCH,92,CONTAINS,245,RAMON DO CASAR,VI BLANC,0
764625,B SO Can Roda Pansa Blanca,BLANCOS WINERIM,MATCH,92,CONTAINS,518,Can roda,VI BLANC,0
764609,B Satèl·lit,BLANCOS WINERIM,MATCH,100,EXACT,222,SATEL·LIT,VI BLANC,0
971458,C Dulce de Invierno,COPAS WINERIM,NO_MATCH,0,,,,,0
764654,B Bocchoris Brut Nature,ESPUMOSOS WINERIM,NO_MATCH,63,FUZZY,259,RECAREDO BRUT NATURE,CAVA,0
785747,B Coll de la Sitja Ancestral,ESPUMOSOS WINERIM,NO_MATCH,0,,,,,0
764651,B Gramona Imperial Brut,ESPUMOSOS WINERIM,MATCH,92,CONTAINS,268,GRAMONA IMPERIAL,CAVA,0
785748,B Para Roques Ancestral,ESPUMOSOS WINERIM,NO_MATCH,0,,,,,0
764646,B Pere Ventura Reserva Brut,ESPUMOSOS WINERIM,REVIEW,74,FUZZY,264,PERE VENTURA BRUT NAT,CAVA,0
776053,B Primer Reserva Brut,ESPUMOSOS WINERIM,NO_MATCH,63,FUZZY,138,PESQUERA RESERVA,RIBERA DUERO,0
764639,B Raventós i Blanc de Nit,ESPUMOSOS WINERIM,MATCH,92,CONTAINS,256,DE NIT,CAVA,0
764642,B Serral del Vell,ESPUMOSOS WINERIM,NO_MATCH,0,,,,,0
775951,B Subtil Brut Nature Gran Reserva,ESPUMOSOS WINERIM,NO_MATCH,60,FUZZY,258,ROVELLATS GRAN RESERVA,CAVA,0
764645,B Sumarroca Brut Nature Gran Reserva,ESPUMOSOS WINERIM,MATCH,92,CONTAINS,262,SUMARROCA,CAVA,0
764643,B Terrers Brut Nature Gran Reserva,ESPUMOSOS WINERIM,NO_MATCH,0,,,,,0
1164544,M PSI,MAGNUM WINERIM,MATCH,100,EXACT,153,PSI,RIBERA DUERO,2
765279,B Algars Rosat,ROSADOS WINERIM,MATCH,92,CONTAINS,515,Algars,TERRA ALTA,0
764600,B Bàrbara Forés Rosat,ROSADOS WINERIM,MATCH,100,EXACT,213,BARBARA FORES ROSAT,VI ROSAT,0
764603,B La Rosa,ROSADOS WINERIM,MATCH,100,EXACT,215,LA ROSA,VI ROSAT,0
764598,B Mas Comtal Rosat de Llàgrima,ROSADOS WINERIM,MATCH,92,CONTAINS,211,MAS COMTAL ROSAT,VI ROSAT,0
764599,B Portell Rosat Trepat,ROSADOS WINERIM,MATCH,92,CONTAINS,212,PORTELL,VI ROSAT,0
765229,B Sindicat la Figuera Rosat,ROSADOS WINERIM,MATCH,94,FUZZY,216,SINDICAT FIGUERA ROSAT,VI ROSAT,0
775945,B Sindicat la Figuera Rosat 945,ROSADOS WINERIM,REVIEW,86,FUZZY,216,SINDICAT FIGUERA ROSAT,VI ROSAT,0
764491,B Abadal 3.9,TINTOS WINERIM,MATCH,100,EXACT,91,ABADAL 3.9,PLA DE BAGES,0
769697,B Abadal 5 Merlot,TINTOS WINERIM,NO_MATCH,67,FUZZY,89,ABADAL SELECCIO,PLA DE BAGES,0
764490,B Abadal Reserva Selecció 0.7,TINTOS WINERIM,NO_MATCH,71,FUZZY,89,ABADAL SELECCIO,PLA DE BAGES,0
763427,B Acústic,TINTOS WINERIM,MATCH,100,EXACT,34,ACUSTIC,MONTSANT,0
763645,B Ad Fines,TINTOS WINERIM,MATCH,100,EXACT,71,AD FINES,PENEDES,0
765281,B Algars Negre,TINTOS WINERIM,MATCH,92,CONTAINS,515,Algars,TERRA ALTA,0
763403,B Amadis,TINTOS WINERIM,MATCH,100,EXACT,13,AMADIS,PRIORAT,0
765634,B Amadis 634,TINTOS WINERIM,MATCH,92,CONTAINS,13,AMADIS,PRIORAT,0
763636,B Black,TINTOS WINERIM,MATCH,100,EXACT,61,BLACK,PENEDES,0
769689,B Black 689,TINTOS WINERIM,MATCH,92,CONTAINS,61,BLACK,PENEDES,0
763428,B Brunus,TINTOS WINERIM,MATCH,100,EXACT,35,BRUNUS,MONTSANT,0
763387,B Bàrbara Forés Negre,TINTOS WINERIM,MATCH,100,EXACT,53,BARBARA FORES NEGRE,TERRA ALTA,0
