family_id,name,visible,parent_id,path,products,saleable,direct
33,VINOS,False,,VINOS,109,106,0
37,VINOS POR COPAS,False,,VINOS POR COPAS,93,82,0
39,BEBIDAS,False,,BEBIDAS,0,0,0
900157,TINTOS WINERIM,True,,TINTOS WINERIM,24,14,0
901954,COPAS WINERIM,True,,COPAS WINERIM,3,2,0
903516,ROSADOS WINERIM,True,,ROSADOS WINERIM,1,0,0
903925,DULCE WINERIM,True,,DULCE WINERIM,6,4,0
904241,BLANCOS WINERIM,True,,BLANCOS WINERIM,26,20,0
904289,MAGNUM WINERIM,True,,MAGNUM WINERIM,2,2,0
908182,FORTIFICADOS WINERIM,True,,FORTIFICADOS WINERIM,4,4,0
908875,ESPUMOSOS WINERIM,True,,ESPUMOSOS WINERIM,11,8,0
1,CAFE,False,,CAFE,21,21,0
2,CERVEZA,False,,CERVEZA,1,1,0
3,REFRESCO,False,,REFRESCO,44,3,0
4,RON,False,,RON,42,42,0
5,VODKA,False,,VODKA,9,9,0
6,WHISKY,False,,WHISKY,31,31,0
7,GINEBRA,False,,GINEBRA,56,56,0
8,CARNE,True,,CARNE,0,0,0
9,MENU,True,,MENU,0,0,0
10,LICORES,True,,LICORES,0,0,0
11,VINOS,False,,VINOS,0,0,0
12,ENTRANTES,False,,ENTRANTES,0,0,0
13,BOCADILLOS,False,,BOCADILLOS,0,0,0
14,ENSALADA,False,,ENSALADA,0,0,0
15,SOPA,False,,SOPA,0,0,0
25,AÑADIDOS,False,,AÑADIDOS,0,0,0
26,AÑADIDOS CARAJILLO,False,,AÑADIDOS CARAJILLO,0,0,0
27,BOT GINEBRA,False,,BOT GINEBRA,0,0,0
28,BOT RON,False,,BOT RON,0,0,0
29,BOT VODKA,False,,BOT VODKA,0,0,0
30,BOT WHISKY,False,,BOT WHISKY,0,0,0
31,LICORES,False,,LICORES,0,0,0
32,SABORES TOSTADAS,False,,SABORES TOSTADAS,0,0,0
34,KATSU LIQUIDO,False,,KATSU LIQUIDO,63,56,0
35,CARTA,False,,CARTA,178,177,0
36,DELIVERY,False,,DELIVERY,33,33,0
38,CHUPITOS,False,,CHUPITOS,29,29,0
40,SAKE BAR,False,,SAKE BAR,31,31,0
41,CAFÉ . TÉS,False,,CAFÉ . TÉS,22,22,0
42,MERCHANDISING,False,,MERCHANDISING,2,2,0
43,COPAS,False,,COPAS,15,15,0
