product_id,name,family_id,family_name,family_visible,saleable_as_main,use_as_direct_sale,format,winerim_id,path,mapping_status,tracking_status,tracking_error,reason
772846,B. SAN SALVADOR GODELLO,33,VINOS,False,True,False,BOTTLE,272846,VINOS,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272846 returned 404,mapping_rejected_terminal_or_deleted_winerim
772848,B ALPHA ESTATE MALAGOUZIA TURTLES VINEYARD,33,VINOS,False,True,False,BOTTLE,272848,VINOS,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272848 returned 404,mapping_rejected_terminal_or_deleted_winerim
772849,B Alpha Estate Ecosystem Pinot Noir Single Block,900157,TINTOS WINERIM,True,False,False,BOTTLE,272849,TINTOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272849 returned 404,mapping_rejected_terminal_or_deleted_winerim
772851,B Antas Petit Verdot,900157,TINTOS WINERIM,True,False,False,BOTTLE,272851,TINTOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272851 returned 404,mapping_rejected_terminal_or_deleted_winerim
772855,B. CROCODILE´S LAIR KAAIMANSGAT CHARDONNAY,33,VINOS,False,True,False,BOTTLE,272855,VINOS,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272855 returned 404,mapping_rejected_terminal_or_deleted_winerim
772856,B Coquet Gran Reserva Brut Nature,908875,ESPUMOSOS WINERIM,True,False,False,BOTTLE,272856,ESPUMOSOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272856 returned 404,mapping_rejected_terminal_or_deleted_winerim
772858,B Mestres Visol Gran Reserva Brut Nature,908875,ESPUMOSOS WINERIM,True,False,False,BOTTLE,272858,ESPUMOSOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272858 returned 404,mapping_rejected_terminal_or_deleted_winerim
772861,B Chavy-Chouet La Taupe,900157,TINTOS WINERIM,True,False,False,BOTTLE,272861,TINTOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272861 returned 404,mapping_rejected_terminal_or_deleted_winerim
772862,B. CHAVY-CHOUET LES FEMELOTTES BOURGOGNE BLANC,33,VINOS,False,True,False,BOTTLE,272862,VINOS,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272862 returned 404,mapping_rejected_terminal_or_deleted_winerim
772863,B Coraz,900157,TINTOS WINERIM,True,False,False,BOTTLE,272863,TINTOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272863 returned 404,mapping_rejected_terminal_or_deleted_winerim
