product_id,name,family_id,family_name,family_visible,saleable_as_main,use_as_direct_sale,format,winerim_id,path,mapping_status,tracking_status,tracking_error
772845,B. ABAD DOM BUENO GODELLO ESENCIA,33,VINOS,False,True,False,BOTTLE,272845,VINOS,CONFIRMED,VERIFIED,
772846,B. SAN SALVADOR GODELLO,33,VINOS,False,True,False,BOTTLE,272846,VINOS,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272846 returned 404
772847,B Abalón Godello,904241,BLANCOS WINERIM,True,True,False,BOTTLE,272847,BLANCOS WINERIM,CONFIRMED,VERIFIED,
772848,B ALPHA ESTATE MALAGOUZIA TURTLES VINEYARD,33,VINOS,False,True,False,BOTTLE,272848,VINOS,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272848 returned 404
772849,B Alpha Estate Ecosystem Pinot Noir Single Block,900157,TINTOS WINERIM,True,False,False,BOTTLE,272849,TINTOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272849 returned 404
772850,B Andre Scherer Alsace Grand Cru 'Eichberg',904241,BLANCOS WINERIM,True,True,False,BOTTLE,272850,BLANCOS WINERIM,CONFIRMED,VERIFIED,
772851,B Antas Petit Verdot,900157,TINTOS WINERIM,True,False,False,BOTTLE,272851,TINTOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272851 returned 404
772852,B Añada de Baladiña,904241,BLANCOS WINERIM,True,True,False,BOTTLE,272852,BLANCOS WINERIM,CONFIRMED,VERIFIED,
772853,B Baladiña Sobre Lías,904241,BLANCOS WINERIM,True,True,False,BOTTLE,272853,BLANCOS WINERIM,CONFIRMED,VERIFIED,
772854,B Baladiña Barro,904241,BLANCOS WINERIM,True,True,False,BOTTLE,272854,BLANCOS WINERIM,CONFIRMED,VERIFIED,
772855,B. CROCODILE´S LAIR KAAIMANSGAT CHARDONNAY,33,VINOS,False,True,False,BOTTLE,272855,VINOS,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272855 returned 404
772856,B Coquet Gran Reserva Brut Nature,908875,ESPUMOSOS WINERIM,True,False,False,BOTTLE,272856,ESPUMOSOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272856 returned 404
772857,B Rosat de Mestres Brut Nature Gran Reserva,908875,ESPUMOSOS WINERIM,True,True,False,BOTTLE,272857,ESPUMOSOS WINERIM,CONFIRMED,VERIFIED,
772858,B Mestres Visol Gran Reserva Brut Nature,908875,ESPUMOSOS WINERIM,True,False,False,BOTTLE,272858,ESPUMOSOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272858 returned 404
772859,B J.M. Gobillard & Fils Grande Reserve Brut Premier Cru,908875,ESPUMOSOS WINERIM,True,True,False,BOTTLE,272859,ESPUMOSOS WINERIM,CONFIRMED,VERIFIED,
772860,B Sanger Voyage 360,908875,ESPUMOSOS WINERIM,True,True,False,BOTTLE,272860,ESPUMOSOS WINERIM,CONFIRMED,VERIFIED,
772861,B Chavy-Chouet La Taupe,900157,TINTOS WINERIM,True,False,False,BOTTLE,272861,TINTOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272861 returned 404
772862,B. CHAVY-CHOUET LES FEMELOTTES BOURGOGNE BLANC,33,VINOS,False,True,False,BOTTLE,272862,VINOS,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272862 returned 404
772863,B Coraz,900157,TINTOS WINERIM,True,False,False,BOTTLE,272863,TINTOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272863 returned 404
772864,B Coraz Finca La Esclavitud,900157,TINTOS WINERIM,True,False,False,BOTTLE,272864,TINTOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272864 returned 404
772865,B Craggy Range Te Muna Sauvignon Blanc,904241,BLANCOS WINERIM,True,False,False,BOTTLE,272865,BLANCOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272865 returned 404
772866,B Dr. Loosen Red Slate Trocken,904241,BLANCOS WINERIM,True,True,False,BOTTLE,272866,BLANCOS WINERIM,CONFIRMED,VERIFIED,
772867,B Dr. Loosen Beerenauslese,903925,DULCE WINERIM,True,False,False,BOTTLE,272867,DULCE WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272867 returned 404
772868,B Dulas P.X. Barrica,904241,BLANCOS WINERIM,True,False,False,BOTTLE,272868,BLANCOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272868 returned 404
772869,B Dulas Blanco Sobre Lías,904241,BLANCOS WINERIM,True,False,False,BOTTLE,272869,BLANCOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272869 returned 404
772870,B. DULAS ROSÉ,33,VINOS,False,True,False,BOTTLE,272870,VINOS,CONFIRMED,VERIFIED,
772871,B Dulas,900157,TINTOS WINERIM,True,False,False,BOTTLE,272871,TINTOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272871 returned 404
772872,B Finca Les Lleres,904241,BLANCOS WINERIM,True,True,False,BOTTLE,272872,BLANCOS WINERIM,CONFIRMED,VERIFIED,
772873,B Ginesta,904241,BLANCOS WINERIM,True,True,False,BOTTLE,272873,BLANCOS WINERIM,CONFIRMED,VERIFIED,
772874,B MiruMiru Reserve,908875,ESPUMOSOS WINERIM,True,True,False,BOTTLE,272874,ESPUMOSOS WINERIM,CONFIRMED,VERIFIED,
772875,B MiruMiru Rosé,908875,ESPUMOSOS WINERIM,True,True,False,BOTTLE,272875,ESPUMOSOS WINERIM,CONFIRMED,VERIFIED,
772876,B Entity Shiraz,900157,TINTOS WINERIM,True,True,False,BOTTLE,272876,TINTOS WINERIM,CONFIRMED,VERIFIED,
772877,B La Raspa,904241,BLANCOS WINERIM,True,False,False,BOTTLE,272877,BLANCOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272877 returned 404
772878,B Lawson's Dry Hills Sauvignon Blanc,904241,BLANCOS WINERIM,True,True,False,BOTTLE,272878,BLANCOS WINERIM,CONFIRMED,VERIFIED,
772879,B Le Branch,900157,TINTOS WINERIM,True,True,False,BOTTLE,272879,TINTOS WINERIM,CONFIRMED,VERIFIED,
772880,B Lienzo Selección Airén Pie Franco,904241,BLANCOS WINERIM,True,True,False,BOTTLE,272880,BLANCOS WINERIM,CONFIRMED,VERIFIED,
772881,B Lirondo,904241,BLANCOS WINERIM,True,True,False,BOTTLE,272881,BLANCOS WINERIM,CONFIRMED,VERIFIED,
772882,B Magnético,900157,TINTOS WINERIM,True,False,False,BOTTLE,272882,TINTOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272882 returned 404
772883,B Majuelo del Chiviritero La Seca,904241,BLANCOS WINERIM,True,True,False,BOTTLE,272883,BLANCOS WINERIM,CONFIRMED,VERIFIED,
772884,B Nero de Sort,900157,TINTOS WINERIM,True,False,False,BOTTLE,272884,TINTOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272884 returned 404
772885,B Noctiluca,903925,DULCE WINERIM,True,True,False,BOTTLE,272885,DULCE WINERIM,CONFIRMED,VERIFIED,
772886,B Paul Cluver Riesling,904241,BLANCOS WINERIM,True,True,False,BOTTLE,272886,BLANCOS WINERIM,CONFIRMED,VERIFIED,
772887,B Quelías Rosé,903516,ROSADOS WINERIM,True,False,False,BOTTLE,272887,ROSADOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272887 returned 404
772888,B Rafa Cañizares Syrah,900157,TINTOS WINERIM,True,True,False,BOTTLE,272888,TINTOS WINERIM,CONFIRMED,VERIFIED,
772889,B Kiedrich Klosterberg Riesling Trocken,904241,BLANCOS WINERIM,True,True,False,BOTTLE,272889,BLANCOS WINERIM,CONFIRMED,VERIFIED,
772890,B. SAIAZ ROSADO,33,VINOS,False,True,False,BOTTLE,272890,VINOS,CONFIRMED,VERIFIED,
772891,B San Salvador,904241,BLANCOS WINERIM,True,True,False,BOTTLE,272891,BLANCOS WINERIM,CONFIRMED,VERIFIED,
772892,B Sarmentero Gran Reserva 26 Meses,900157,TINTOS WINERIM,True,True,False,BOTTLE,272892,TINTOS WINERIM,CONFIRMED,VERIFIED,
772893,B Sarmentero Vendimia Seleccionada,900157,TINTOS WINERIM,True,True,False,BOTTLE,272893,TINTOS WINERIM,CONFIRMED,VERIFIED,
772894,B 6º Elemento,900157,TINTOS WINERIM,True,False,False,BOTTLE,272894,TINTOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272894 returned 404
772895,B Siah,904241,BLANCOS WINERIM,True,False,False,BOTTLE,272895,BLANCOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272895 returned 404
772896,B Spy Valley Pinot Noir,900157,TINTOS WINERIM,True,True,False,BOTTLE,272896,TINTOS WINERIM,CONFIRMED,VERIFIED,
772897,B Spy Valley Sauvignon Blanc,904241,BLANCOS WINERIM,True,False,False,BOTTLE,272897,BLANCOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272897 returned 404
772898,B Tarima Hill Old Vines Monastrell,900157,TINTOS WINERIM,True,True,False,BOTTLE,272898,TINTOS WINERIM,CONFIRMED,VERIFIED,
772900,B Tintoralba Dulce,903925,DULCE WINERIM,True,True,False,BOTTLE,272900,DULCE WINERIM,CONFIRMED,VERIFIED,
772901,B Gróf Degenfeld Tokaji Organikus Szamorodni,903925,DULCE WINERIM,True,False,False,BOTTLE,272901,DULCE WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272901 returned 404
772902,B Triga Chardonnay Fermentado en Barrica,904241,BLANCOS WINERIM,True,True,False,BOTTLE,272902,BLANCOS WINERIM,CONFIRMED,VERIFIED,
772903,B Triga,900157,TINTOS WINERIM,True,True,False,BOTTLE,272903,TINTOS WINERIM,CONFIRMED,VERIFIED,
772904,B Volver Cuvée Rafael Cañizares,900157,TINTOS WINERIM,True,True,False,BOTTLE,272904,TINTOS WINERIM,CONFIRMED,VERIFIED,
772905,B Volver Single Vineyard,900157,TINTOS WINERIM,True,False,False,BOTTLE,272905,TINTOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272905 returned 404
772906,B Lilyale Blanc de Blancs Grand Cru,908875,ESPUMOSOS WINERIM,True,True,False,BOTTLE,272906,ESPUMOSOS WINERIM,CONFIRMED,VERIFIED,
772907,B Prestige des Sacres Brut Prestige,908875,ESPUMOSOS WINERIM,True,True,False,BOTTLE,272907,ESPUMOSOS WINERIM,CONFIRMED,VERIFIED,
772908,B Tarima Sparkling,908875,ESPUMOSOS WINERIM,True,False,False,BOTTLE,272908,ESPUMOSOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272908 returned 404
775433,B Forster Pechstein Riesling GG Dry,904241,BLANCOS WINERIM,True,True,False,BOTTLE,275433,BLANCOS WINERIM,CONFIRMED,VERIFIED,
777102,B Recaredo Intens Rosat Brut Nature,908875,ESPUMOSOS WINERIM,True,True,False,BOTTLE,277102,ESPUMOSOS WINERIM,CONFIRMED,VERIFIED,
777110,B Palo Cortado Lorente & Barba,908182,FORTIFICADOS WINERIM,True,True,False,BOTTLE,277110,FORTIFICADOS WINERIM,CONFIRMED,VERIFIED,
777111,B Fino Lorente & Barba,908182,FORTIFICADOS WINERIM,True,True,False,BOTTLE,277111,FORTIFICADOS WINERIM,CONFIRMED,VERIFIED,
777112,B Oloroso Lorente & Barba,908182,FORTIFICADOS WINERIM,True,True,False,BOTTLE,277112,FORTIFICADOS WINERIM,CONFIRMED,VERIFIED,
777114,B PX Lorente & Barba,903925,DULCE WINERIM,True,True,False,BOTTLE,277114,DULCE WINERIM,CONFIRMED,VERIFIED,
777125,B Regina Vides,900157,TINTOS WINERIM,True,True,False,BOTTLE,277125,TINTOS WINERIM,CONFIRMED,VERIFIED,
777129,B Carvajal Manzanilla En Rama,908182,FORTIFICADOS WINERIM,True,True,False,BOTTLE,277129,FORTIFICADOS WINERIM,CONFIRMED,VERIFIED,
777131,B Music Blanc Dolç,903925,DULCE WINERIM,True,True,False,BOTTLE,277131,DULCE WINERIM,CONFIRMED,VERIFIED,
777133,B Château Cristi Pinot Noir,900157,TINTOS WINERIM,True,True,False,BOTTLE,277133,TINTOS WINERIM,CONFIRMED,VERIFIED,
777139,B Meridiano Perdido,904241,BLANCOS WINERIM,True,True,False,BOTTLE,277139,BLANCOS WINERIM,CONFIRMED,VERIFIED,
777141,B Majuelo El Espejo la Seca,900157,TINTOS WINERIM,True,True,False,BOTTLE,277141,TINTOS WINERIM,CONFIRMED,VERIFIED,
777161,B Tarima Blanco,904241,BLANCOS WINERIM,True,True,False,BOTTLE,277161,BLANCOS WINERIM,CONFIRMED,VERIFIED,
777203,B Sarmentero Roble,900157,TINTOS WINERIM,True,True,False,BOTTLE,277203,TINTOS WINERIM,CONFIRMED,VERIFIED,
777234,B Lienzo Chardonnay Fermentado en Barrica,904241,BLANCOS WINERIM,True,True,False,BOTTLE,277234,BLANCOS WINERIM,CONFIRMED,VERIFIED,
777238,B 6º Elemento 238,900157,TINTOS WINERIM,True,True,False,BOTTLE,277238,TINTOS WINERIM,CONFIRMED,VERIFIED,
972845,C. SAN SALVADOR GODELLO,37,VINOS POR COPAS,False,True,False,GLASS,272845,VINOS POR COPAS,CONFIRMED,VERIFIED,
972883,C Majuelo del Chiviritero La Seca,901954,COPAS WINERIM,True,True,False,GLASS,272883,COPAS WINERIM,CONFIRMED,VERIFIED,
972886,C Paul Cluver Riesling,901954,COPAS WINERIM,True,False,False,GLASS,272886,COPAS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272886 returned 404
975433,C Forster Pechstein Riesling GG Dry,901954,COPAS WINERIM,True,True,False,GLASS,275433,COPAS WINERIM,CONFIRMED,VERIFIED,
1172891,M San Salvador,904289,MAGNUM WINERIM,True,True,False,MAGNUM,272891,MAGNUM WINERIM,CONFIRMED,VERIFIED,
1177138,M Single Vineyard,904289,MAGNUM WINERIM,True,True,False,MAGNUM,277138,MAGNUM WINERIM,CONFIRMED,VERIFIED,
