provider_product_id,provider_product_name,family_name,family_visible,saleable_as_main,match_status,winerim_id,winerim_name,score,method,reasons
559,B. 1/2 BOTELLA CHAMPAGNE SANGER VOYAGE 360,VINOS,False,True,NO_MATCH,272860,Sanger Voyage 360,60.0,FUZZY,token_similarity
563,B. DR. LOOSEN GRAY SLATE RIESLING,VINOS,False,True,NO_MATCH,272866,Dr. Loosen Red Slate Trocken,42.9,FUZZY,token_similarity
564,"B. DR.LOOSEN BEERENAUSLESE RIESLING (18,7 CL.)",VINOS,False,True,NO_MATCH,272866,Dr. Loosen Red Slate Trocken,22.2,FUZZY,token_similarity
565,B. LUIS XIV ÁNFORAS,VINOS,False,True,MATCH,277148,Luis XIV Ánforas,100.0,FUZZY,token_similarity
566,B. QUELIAS ROSÉ,VINOS,False,True,NO_MATCH,272870,Dulas Rosé,33.3,FUZZY,token_similarity
567,B. RAFA CAÑIZARES SAUVIGNON BLANC,VINOS,False,True,NO_MATCH,272888,Rafa Cañizares Syrah,40.0,FUZZY,token_similarity
568,B.EL BUEN ROLLO,VINOS,False,False,NO_MATCH,277141,Majuelo El Espejo la Seca,14.3,FUZZY,token_similarity
569,C. DR. LOOSEN GRAY SLATE RIESLING ( semiseco ),VINOS POR COPAS,False,True,NO_MATCH,272866,Dr. Loosen Red Slate Trocken,37.5,FUZZY,token_similarity
570,C. QUELIAS ROSADO,VINOS POR COPAS,False,True,NO_MATCH,272890,Saiaz Rosado,33.3,FUZZY,token_similarity
571,C. RAFA CAÑIZARES SAUVIGNON BLANC,VINOS POR COPAS,False,True,NO_MATCH,272888,Rafa Cañizares Syrah,40.0,FUZZY,token_similarity
572,C. RAIMUN GARNACHA,VINOS POR COPAS,False,True,NO_MATCH,,,0,,
576,C. NOCTILUCA,VINOS POR COPAS,False,True,MATCH,272885,Noctiluca,100.0,FUZZY,token_similarity
579,Fuga Sake,SAKE BAR,False,True,NO_MATCH,,,0,,
593,1C. CHATEAU CRISTI ( 150 ml),VINOS POR COPAS,False,True,NO_MATCH,275753,Château Cristi Chardonnay,33.3,FUZZY,token_similarity
596,B. ABAD DOM BUENO ROSÉ,VINOS,False,True,NO_MATCH,277094,Abad Dom Bueno Rosado,60.0,FUZZY,token_similarity
597,B. BALADIÑA ALBARIÑO SOBRE LÍAS,VINOS,False,True,REVIEW,272853,Baladiña Sobre Lías,75.0,FUZZY,token_similarity
598,B. CHAMPAGNE SANGER VOYAGE 360,VINOS,False,True,REVIEW,272860,Sanger Voyage 360,75.0,FUZZY,token_similarity
599,B. DR. LOOSEN RED SLATE RIESLING TROCKEN (seco),VINOS,False,True,NO_MATCH,272866,Dr. Loosen Red Slate Trocken,71.4,FUZZY,token_similarity
600,B. JOHN DUVAL ENTITY,VINOS,False,True,NO_MATCH,272876,Entity Shiraz,25.0,FUZZY,token_similarity
601,B. RAIMUN GARNACHA,VINOS,False,True,NO_MATCH,,,0,,
602,C. DR. LOOSEN RED SLATE RIESLING TROCKEN ( seco ),VINOS POR COPAS,False,True,NO_MATCH,272866,Dr. Loosen Red Slate Trocken,71.4,FUZZY,token_similarity
603,C. JOHN DUVAL ENTITY,VINOS POR COPAS,False,True,NO_MATCH,272876,Entity Shiraz,25.0,FUZZY,token_similarity
604,C. SARMENTERO ROBLE,VINOS POR COPAS,False,True,MATCH,277203,Sarmentero Roble,100.0,FUZZY,token_similarity
609,Chokyu Kijoshu 1997,SAKE BAR,False,True,NO_MATCH,,,0,,
612,C. TOKAJ SZAMORODNI GROF DEGENFELD,VINOS POR COPAS,False,True,NO_MATCH,,,0,,
624,C. TARIMA SPARKLING ( Frizzante ),VINOS POR COPAS,False,True,NO_MATCH,277161,Tarima Blanco,25.0,FUZZY,token_similarity
628,B. TOKAJ GROF DEGENFELD SZAMORODNI (50CL.),VINOS,False,True,NO_MATCH,,,0,,
631,B. CHATEAU CRISTI,VINOS,False,True,NO_MATCH,275753,Château Cristi Chardonnay,66.7,FUZZY,token_similarity
632,"B. DOMINIO DEL BENDITO ''LAS SABIAS""",VINOS,False,True,NO_MATCH,272883,Majuelo del Chiviritero La Seca,11.1,FUZZY,token_similarity
633,B. HUNTERS MIRU MIRU RESERVE,VINOS,False,True,NO_MATCH,272874,MiruMiru Reserve,25.0,FUZZY,token_similarity
634,B. LAWSON'S DRY HILLS SAUVIGNON BLANC,VINOS,False,True,MATCH,272878,Lawson's Dry Hills Sauvignon Blanc,100.0,FUZZY,token_similarity
635,B. RAATS OLD VINE CHENIN BLANC,VINOS,False,True,NO_MATCH,277143,Biu Blanc,16.7,FUZZY,token_similarity
636,B. SARMENTERO ROBLE,VINOS,False,True,MATCH,277203,Sarmentero Roble,100.0,FUZZY,token_similarity
637,B. TARIMA SPARKLING ( FRIZZANTE ),VINOS,False,True,NO_MATCH,277161,Tarima Blanco,25.0,FUZZY,token_similarity
643,C. LAWSON'S DRY HILLS SAUVIGNON BLANC,VINOS POR COPAS,False,True,MATCH,272878,Lawson's Dry Hills Sauvignon Blanc,100.0,FUZZY,token_similarity
644,C. MAIN DIVINE POKIRI RESERVE LATE PICKED,VINOS POR COPAS,False,True,NO_MATCH,272874,MiruMiru Reserve,14.3,FUZZY,token_similarity
645,C. RAATS OLD VINES CHENIN BLANC,VINOS POR COPAS,False,True,NO_MATCH,272898,Tarima Hill Old Vines Monastrell,25.0,FUZZY,token_similarity
650,Copa Vino Fuera Carta,VINOS POR COPAS,False,False,NO_MATCH,,,0,,
657,B. NOCTILUCA (50 CL.),VINOS,False,True,NO_MATCH,272885,Noctiluca,33.3,FUZZY,token_similarity
665,B. CAVA MESTRES ROSAT GRAN RERSERVA BRUT NATURE,VINOS,False,True,NO_MATCH,272857,Rosat de Mestres Brut Nature Gran Reserva,55.6,FUZZY,token_similarity
666,B. EL BUEN ROLLO,VINOS,False,False,NO_MATCH,277141,Majuelo El Espejo la Seca,14.3,FUZZY,token_similarity
667,B. HUNTERS MIRU MIRU ROSE,VINOS,False,True,NO_MATCH,272870,Dulas Rosé,25.0,FUZZY,token_similarity
668,B. LA RASPA,VINOS,False,True,NO_MATCH,272883,Majuelo del Chiviritero La Seca,16.7,FUZZY,token_similarity
669,B. THE CHOCOLATE BLOCK,VINOS,False,True,NO_MATCH,,,0,,
671,C. LA RASPA,VINOS POR COPAS,False,True,NO_MATCH,272883,Majuelo del Chiviritero La Seca,16.7,FUZZY,token_similarity
672,C. LUIS XIV ÁNFORAS,VINOS POR COPAS,False,True,MATCH,277148,Luis XIV Ánforas,100.0,FUZZY,token_similarity
673,C. PX SOLERA 1981,VINOS POR COPAS,False,True,NO_MATCH,277114,PX Lorente & Barba,20.0,FUZZY,token_similarity
674,C. SAXENBURG PRIVATE COLLECTION CHARDONNAY,VINOS POR COPAS,False,True,REVIEW,277144,Private Collection Chardonnay,75.0,FUZZY,token_similarity
675,C. THE CHOCOLATE BLOCK,VINOS POR COPAS,False,True,NO_MATCH,,,0,,
680,C. LAGAR DEL ZAR TINTO DULCE,VINOS POR COPAS,False,True,NO_MATCH,272900,Tintoralba Dulce,16.7,FUZZY,token_similarity
681,B. DR. LOOSEN RIESLING ERDENER PRALAT AUSLESE GOLD (37'5 CL.),VINOS,False,True,NO_MATCH,272866,Dr. Loosen Red Slate Trocken,16.7,FUZZY,token_similarity
687,Jarra grande Sake Masumi kaya,SAKE BAR,False,True,NO_MATCH,272859,J.M. Gobillard & Fils Grande Reserve Brut Premier Cru,9.1,FUZZY,token_similarity
688,Jarra pequeña Sake Masumi kaya,SAKE BAR,False,True,NO_MATCH,,,0,,
693,B. ROBERT WEIL KIEDRICH KLOSTERBERG RIESLING TROCKEN,VINOS,False,True,NO_MATCH,272889,Kiedrich Klosterberg Riesling Trocken,66.7,FUZZY,token_similarity
699,B. MAIN DIVIDE POKIRI RESERVE PINOT GRIS,VINOS,False,True,NO_MATCH,272874,MiruMiru Reserve,14.3,FUZZY,token_similarity
700,B. PAGO AYLES CUESTA DEL HERRERO,VINOS,False,True,NO_MATCH,272883,Majuelo del Chiviritero La Seca,11.1,FUZZY,token_similarity
701,B. VOLVER CHARDONNAY,VINOS,False,True,NO_MATCH,275753,Château Cristi Chardonnay,25.0,FUZZY,token_similarity
702,B. WARIS HUBERT LILYALE BLANC GRAND CRU,VINOS,False,True,NO_MATCH,272906,Lilyale Blanc de Blancs Grand Cru,50.0,FUZZY,token_similarity
705,C. PAGO AYLES CUESTA DEL HERRERO,VINOS POR COPAS,False,True,NO_MATCH,272883,Majuelo del Chiviritero La Seca,11.1,FUZZY,token_similarity
706,B. CAVA MESTRES COQUET BRUT NATURE GRAN RESERVA,VINOS,False,True,NO_MATCH,272857,Rosat de Mestres Brut Nature Gran Reserva,55.6,FUZZY,token_similarity
715,Jarra grande Sake Kazenomori Takacho,SAKE BAR,False,True,NO_MATCH,272859,J.M. Gobillard & Fils Grande Reserve Brut Premier Cru,9.1,FUZZY,token_similarity
716,Jarra pequeña Sake Kazenomori Takacho,SAKE BAR,False,True,NO_MATCH,,,0,,
725,B. CAVA MESTRES VISOL GRAN RESERVA BRUT NATURE,VINOS,False,True,NO_MATCH,272857,Rosat de Mestres Brut Nature Gran Reserva,55.6,FUZZY,token_similarity
726,B. PILLITTERI RIESLING ICE WINE (20 CL),VINOS,False,True,NO_MATCH,272886,Paul Cluver Riesling,12.5,FUZZY,token_similarity
727,B. SAIAZ,VINOS,False,True,NO_MATCH,272890,Saiaz Rosado,50.0,FUZZY,token_similarity
728,B. VILLA WOLF FORSTER PECHSTEIN RIESLING ( GG ),VINOS,False,True,NO_MATCH,275433,Forster Pechstein Riesling GG Dry,57.1,FUZZY,token_similarity
730,C. SAIAZ,VINOS POR COPAS,False,True,NO_MATCH,272890,Saiaz Rosado,50.0,FUZZY,token_similarity
731,C. VILLA WOLF FORSTER PECHSTEIN RIESLING ( GG ),VINOS POR COPAS,False,True,NO_MATCH,275433,Forster Pechstein Riesling GG Dry,57.1,FUZZY,token_similarity
742,Jarra pequeña Sake Endo Keyriu,SAKE BAR,False,True,NO_MATCH,,,0,,
746,B. LA CHABLISIENNE PREMIER CRU FOURCHAUME,VINOS,False,True,NO_MATCH,277149,Chablis 1er Cru 'Fourchaume',28.6,FUZZY,token_similarity
747,B. RECAREDO INTENS ROSAT G.R. BRUT NATURE,VINOS,False,True,MATCH,277102,Recaredo Intens Rosat Brut Nature,100.0,FUZZY,token_similarity
748,B. SANGER TRIANGLE MINERAL,VINOS,False,True,NO_MATCH,272860,Sanger Voyage 360,20.0,FUZZY,token_similarity
749,B. VOLVER SINGLE VINEYARD,VINOS,False,True,NO_MATCH,277138,Single Vineyard,66.7,FUZZY,token_similarity
750,B. SIAH,VINOS,False,True,NO_MATCH,,,0,,
751,C. EL BUEN ROLLO,VINOS POR COPAS,False,True,NO_MATCH,277141,Majuelo El Espejo la Seca,14.3,FUZZY,token_similarity
752,C. ROBERT WEIL KIEDRICH KLOSTERBERG RIESLING ( seco ),VINOS POR COPAS,False,True,NO_MATCH,272889,Kiedrich Klosterberg Riesling Trocken,42.9,FUZZY,token_similarity
