winerim_id,format,expected_product_id,winerim_name,wine_type,bottle_sale_price,magnum_sale_price,agora_status,agora_name,agora_family_id,agora_family_name,family_visible,use_as_direct_sale,saleable_as_main,visibility_status
277110,BOTTLE,777110,Palo Cortado Lorente & Barba,fortificado,42.4,,PRESENT_SALEABLE,B Palo Cortado Lorente & Barba,908182,FORTIFICADOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272870,BOTTLE,772870,Dulas Rosé,rosado,26.2,,PRESENT_SALEABLE,B. DULAS ROSÉ,33,VINOS,False,False,True,PRESENT_HIDDEN_FAMILY
277111,BOTTLE,777111,Fino Lorente & Barba,fortificado,27.7,,PRESENT_SALEABLE,B Fino Lorente & Barba,908182,FORTIFICADOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272852,BOTTLE,772852,Añada de Baladiña,blanco,37.8,,PRESENT_SALEABLE,B Añada de Baladiña,904241,BLANCOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272857,BOTTLE,772857,Rosat de Mestres Brut Nature Gran Reserva,espumoso,26.1,,PRESENT_SALEABLE,B Rosat de Mestres Brut Nature Gran Reserva,908875,ESPUMOSOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272885,BOTTLE,772885,Noctiluca,postre,26.2,,PRESENT_SALEABLE,B Noctiluca,903925,DULCE WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272900,BOTTLE,772900,Tintoralba Dulce,postre,21.2,,PRESENT_SALEABLE,B Tintoralba Dulce,903925,DULCE WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
277112,BOTTLE,777112,Oloroso Lorente & Barba,fortificado,38.7,,PRESENT_SALEABLE,B Oloroso Lorente & Barba,908182,FORTIFICADOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272890,BOTTLE,772890,Saiaz Rosado,rosado,20.8,,PRESENT_SALEABLE,B. SAIAZ ROSADO,33,VINOS,False,False,True,PRESENT_HIDDEN_FAMILY
277094,BOTTLE,777094,Abad Dom Bueno Rosado,rosado,23.7,,MISSING,,,,False,False,False,MISSING
277129,BOTTLE,777129,Carvajal Manzanilla En Rama,fortificado,25.0,,PRESENT_SALEABLE,B Carvajal Manzanilla En Rama,908182,FORTIFICADOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272845,BOTTLE,772845,Abad Dom Bueno Godello Esencia,blanco,24.2,,PRESENT_SALEABLE,B. ABAD DOM BUENO GODELLO ESENCIA,33,VINOS,False,False,True,PRESENT_HIDDEN_FAMILY
272859,BOTTLE,772859,J.M. Gobillard & Fils Grande Reserve Brut Premier Cru,espumoso,64.3,,PRESENT_SALEABLE,B J.M. Gobillard & Fils Grande Reserve Brut Premier Cru,908875,ESPUMOSOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
277114,BOTTLE,777114,PX Lorente & Barba,postre,45.0,,PRESENT_SALEABLE,B PX Lorente & Barba,903925,DULCE WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272847,BOTTLE,772847,Abalón Godello,blanco,28.8,,PRESENT_SALEABLE,B Abalón Godello,904241,BLANCOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272860,BOTTLE,772860,Sanger Voyage 360,espumoso,34.6,,PRESENT_SALEABLE,B Sanger Voyage 360,908875,ESPUMOSOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
277131,BOTTLE,777131,Music Blanc Dolç,postre,38.4,,PRESENT_SALEABLE,B Music Blanc Dolç,903925,DULCE WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272850,BOTTLE,772850,Andre Scherer Alsace Grand Cru 'Eichberg',blanco,40.7,,PRESENT_SALEABLE,B Andre Scherer Alsace Grand Cru 'Eichberg',904241,BLANCOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272874,BOTTLE,772874,MiruMiru Reserve,espumoso,36.0,,PRESENT_SALEABLE,B MiruMiru Reserve,908875,ESPUMOSOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272853,BOTTLE,772853,Baladiña Sobre Lías,blanco,27.8,,PRESENT_SALEABLE,B Baladiña Sobre Lías,904241,BLANCOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272875,BOTTLE,772875,MiruMiru Rosé,espumoso,39.0,,PRESENT_SALEABLE,B MiruMiru Rosé,908875,ESPUMOSOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272906,BOTTLE,772906,Lilyale Blanc de Blancs Grand Cru,espumoso,58.0,,PRESENT_SALEABLE,B Lilyale Blanc de Blancs Grand Cru,908875,ESPUMOSOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272854,BOTTLE,772854,Baladiña Barro,blanco,40.0,,PRESENT_SALEABLE,B Baladiña Barro,904241,BLANCOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272876,BOTTLE,772876,Entity Shiraz,tinto,45.0,,PRESENT_SALEABLE,B Entity Shiraz,900157,TINTOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272907,BOTTLE,772907,Prestige des Sacres Brut Prestige,espumoso,35.0,,PRESENT_SALEABLE,B Prestige des Sacres Brut Prestige,908875,ESPUMOSOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272879,BOTTLE,772879,Le Branch,tinto,47.8,,PRESENT_SALEABLE,B Le Branch,900157,TINTOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272866,BOTTLE,772866,Dr. Loosen Red Slate Trocken,blanco,31.6,,PRESENT_SALEABLE,B Dr. Loosen Red Slate Trocken,904241,BLANCOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
277102,BOTTLE,777102,Recaredo Intens Rosat Brut Nature,espumoso,37.0,,PRESENT_SALEABLE,B Recaredo Intens Rosat Brut Nature,908875,ESPUMOSOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272888,BOTTLE,772888,Rafa Cañizares Syrah,tinto,23.8,,PRESENT_SALEABLE,B Rafa Cañizares Syrah,900157,TINTOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272892,BOTTLE,772892,Sarmentero Gran Reserva 26 Meses,tinto,40.8,,PRESENT_SALEABLE,B Sarmentero Gran Reserva 26 Meses,900157,TINTOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272872,BOTTLE,772872,Finca Les Lleres,blanco,35.6,,PRESENT_SALEABLE,B Finca Les Lleres,904241,BLANCOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272893,BOTTLE,772893,Sarmentero Vendimia Seleccionada,tinto,28.9,,PRESENT_SALEABLE,B Sarmentero Vendimia Seleccionada,900157,TINTOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272873,BOTTLE,772873,Ginesta,blanco,30.8,,PRESENT_SALEABLE,B Ginesta,904241,BLANCOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272896,BOTTLE,772896,Spy Valley Pinot Noir,tinto,38.5,,PRESENT_SALEABLE,B Spy Valley Pinot Noir,900157,TINTOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272898,BOTTLE,772898,Tarima Hill Old Vines Monastrell,tinto,21.0,,PRESENT_SALEABLE,B Tarima Hill Old Vines Monastrell,900157,TINTOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272878,BOTTLE,772878,Lawson's Dry Hills Sauvignon Blanc,blanco,29.0,,PRESENT_SALEABLE,B Lawson's Dry Hills Sauvignon Blanc,904241,BLANCOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272903,BOTTLE,772903,Triga,tinto,39.5,,PRESENT_SALEABLE,B Triga,900157,TINTOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272880,BOTTLE,772880,Lienzo Selección Airén Pie Franco,blanco,19.1,,PRESENT_SALEABLE,B Lienzo Selección Airén Pie Franco,904241,BLANCOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272904,BOTTLE,772904,Volver Cuvée Rafael Cañizares,tinto,33.0,,PRESENT_SALEABLE,B Volver Cuvée Rafael Cañizares,900157,TINTOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
272881,BOTTLE,772881,Lirondo,blanco,25.0,,PRESENT_SALEABLE,B Lirondo,904241,BLANCOS WINERIM,True,False,True,PRESENT_VISIBLE_SALEABLE
